,screen_name,friends_count
0,History_Forgot,327
1,geocitiesgifbot,1
2,canigetjabbed,3
3,anthambling,545
4,ThamesDiscovery,1857
5,HelloGarglers,20
6,mralistairgreen,1667
7,room_fifty,442
8,HornseyRdBaths,213
9,hansmollman,3004
10,agilebrit,39
11,CrunchyIsland,108
12,WFyourlocal,513
13,charlesfare,962
14,EOCS_Official,1386
15,SamfletcherEsq,527
16,ModernDayNTK,220
17,DavidSpinks,323
18,nwquah,1992
19,TideLineArt,9392
20,IkouLuke,59
21,Cassie_Roselle,191
22,IslingtonLHC,302
23,HEINetworkTV,4
24,Commsor,83
25,CommunityClubHQ,169
26,Wikimedia,1323
27,Cademackin,326
28,DescriptApp,55
29,jeremycorbyn,2948
30,laughingwithal,1413
31,jericawebber,500
32,shamebanduk,235
33,FeelValued,11
34,JuliaAMcKenzie,1746
35,jeremylion,311
36,squidbanduk,782
37,ukcag,2831
38,dominicknero,2860
39,PetrichorSeries,372
40,VanishedLondon,581
41,hornesection,2533
42,eyebeamnyc,1927
43,mediamolecule,1020
44,ufoofinterest,89
45,advertisedtwit,3
46,greatbritpods,3
47,britpodawards,81
48,STUnitedfruit,434
49,podmakerstreams,101
50,StrongBadActual,1
51,JamesAcastor,16
52,warls,946
53,Wyrd_Science,784
54,AuddyShows,65
55,wumbleston,143
56,PlaceTiltman,146
57,NatashaHodgson,2636
58,Mini_Mysteries,18
59,jelly_deals,64
60,mattb,1434
61,3uncanny4,31
62,PearTreePodcast,23
63,BrewstersRoost,138
64,ExtraLifePod,63
65,knotanimal,3
66,annagoss,1254
67,bookshop_org_UK,1244
68,minarama,781
69,pixipui,516
70,iraglass,887
71,MTSONMTS,9
72,connorratliff,4233
73,WildWildTechPod,111
74,AnneLouiseAvery,5703
75,discord,1071
76,LetsMakeAMusic,4
77,flow__app,20
78,newtimhoward,2351
79,QanonAnonymous,724
80,travis_view,2562
81,LondonPodFest,611
82,shoptonet,95
83,yosp,1347
84,schillingc,1821
85,poppyhillstead,438
86,undead8bit,569
87,conspiraboomers,11
88,japanologyooc,5
89,beyondblathers,296
90,earwolf,478
91,tinyislanddiary,16
92,OliverAge24,7292
93,Yokai_Parade,231
94,spotifypodcasts,129
95,can,1118
96,actionbutton,17
97,LdnMetArchives,252
98,OnLondon,1265
99,DeliverooHelp,126
100,DeadEyespodcast,3491
101,badlydrawnboxes,189
102,edward_ross,263
103,MaryHorizons,128
104,FirstTimersFest,183
105,ravi_hiranand,1601
106,nandoodles,2744
107,WaverlySchnapps,6
108,AlexisDraws,999
109,UncannyJapan,603
110,capycrossing,3
111,pbarakan,81
112,TomEdwardWright,1452
113,UnionChapelUK,808
114,OnCinemaHead,179
115,rhi_knowles,224
116,Genderintell,3782
117,CurriculumBlack,652
118,RenayRich,740
119,ukblm,492
120,ChardineTaylor,2970
121,KamPhotos393,290
122,NHSEnglandLDN,5484
123,ViolateGeneva,3
124,Maddyology,1647
125,ssssssomerville,320
126,PonderACNH,16
127,fashionimal,25
128,goodpraxiscraft,59
129,alecrobbins,1645
130,WTMMP,34
131,ExperiencedBPB,1325
132,wideawakeldn,45
133,AwkWords_words,56
134,02ESyRaez4VhR2l,276
135,ThePocketPod,110
136,healthymoon8,329
137,romainsalvini,189
138,BLSlichens,127
139,Jontofski,410
140,SecondCaptains,3083
141,FallGuysGame,178
142,CapesandLasers,192
143,briamgilbert,297
144,Hedley_K,1129
145,WeFixSpaceJunk,4648
146,clementinefrere,179
147,ben_cameron,1188
148,noclipvideo,147
149,adaptivestate,269
150,breakroomhq,19
151,acuteleaf,63
152,ac_music_ext,7
153,kenchengcomedy,3842
154,GamesOnFilmPod,169
155,avisualtinker,416
156,gangoffour77_81,27
157,Kekeflipnote,885
158,electronicos_f,276
159,crab_feet,897
160,byte_app,1
161,riseshineaudio,1743
162,planetaryinc,84
163,JesseAMichael,576
164,jamchamb_,444
165,mode7games,7330
166,Show_And_Tell,2319
167,eldercactus,241
168,Coldwar_Steve,26926
169,ianvisits,379
170,RNS,19602
171,NotoriousTIB,5502
172,panosghikas,92
173,nickturani,1023
174,TAHK0,1982
175,theformlessmist,490
176,Stakhanov,198
177,bbcstudios,905
178,BFI,2698
179,helen_osborne,923
180,Pocket_Camp,4
181,jeremysmiles,1805
182,InkstoneNews,94
183,veiny_big,10
184,orbitalcomics,6233
185,Rose_Matafeo,2022
186,nick_kapur,275
187,TerraceHouseEC,19
188,MrNishKumar,1400
189,smfeest,124
190,greatbigowl,96
191,MurderByNumb3rs,59
192,AnnaRoseVan,616
193,ZoeEBreen,4799
194,BedenRita,226
195,newsmanual,2766
196,Matty_Long,322
197,StuartHumphryes,208
198,wearebeam,866
199,C4TheCircle,60
200,gwguk,836
201,house_house_,181
202,joindicebreaker,73
203,NYTStyles,134
204,Mediatonic,1824
205,PolyTreehouse,866
206,missdianemorgan,797
207,jasotweet,3590
208,iamdanw,2038
209,dangerousspeech,565
210,boringshots,1
211,zosable,317
212,jasonschreier,1654
213,ubiquity75,6936
214,jazzzhand,623
215,Tweet_Dec,22829
216,ustwogames,522
217,annekasillitoe,1037
218,jvgsjeff,91
219,xoxogossipgita,2051
220,JoStroud,1318
221,ClockwiseBGC,141
222,nanoloop,10
223,itsJenSim,2031
224,bowers_anna,671
225,playdate,1
226,EscapeComplex,67
227,quartzbrained,1083
228,raghard,337
229,thatnatbuckley,887
230,UpsetTheeRhythm,274
231,Podhero,600
232,Wario64,667
233,Reggie,226
234,thetruebowser,296
235,mchughsiobhan,1603
236,_wholesomegames,964
237,RKGvideo,10
238,dugboticus,1535
239,simonpearson,669
240,1981MediaLtd,306
241,WillOremus,2757
242,JimTheSG,275
243,GimletUnion,64
244,MAp_MAp,852
245,TNauseam,172
246,BillandTed3,46
247,mbrennanchina,767
248,jwherrman,1229
249,succubus_mag,597
250,CanYouPetTheDog,8
251,hearluminary,268
252,techreview,3409
253,ashleyrcarman,1484
254,playdeostudios,1221
255,londongamesfest,896
256,TCGSco,998
257,StateOfLinkedIn,5
258,Matt_Alt,1589
259,uk_ie,2294
260,BrettDomino,1239
261,CPHigson,1402
262,87th,134
263,jackteagle,901
264,angrypiln,113
265,alistaircoleman,913
266,ChucklefishLTD,510
267,HillcastChurch,3
268,PositiveNewsUK,3428
269,FitbitSupport,91
270,EvaHipsey,862
271,Donut,306
272,TheGGApp,1341
273,loudmouthjulia,898
274,moppin_,580
275,egwfraser,635
276,mumsnet_madness,2682
277,capybarahp,67
278,bridgetceleb,20
279,probzz,276
280,MonaChalabi,1991
281,TheFantasticIan,942
282,tvcream,309
283,taskmaster,74
284,FallingTreeProd,928
285,Ellie_McDowall,1737
286,TaylorLorenz,6342
287,plosiveprods,525
288,OffMenuOfficial,129
289,alexlaughs,2539
290,theshadowsfx,34
291,BBCSounds,1423
292,tavihirst,648
293,NyarlaSaurus,47
294,FactCheck,916
295,friendcalledben,110
296,ASimmonsElliott,1057
297,petedonaldson,1702
298,delbius,812
299,juliastmi,2363
300,scarytoilet,1
301,liveladdlove,426
302,SplatoonCafe,8
303,c_crampton,2362
304,Stonepa_,682
305,ACWorldBlog,129
306,MondoNews,600
307,lollyadefope,1341
308,RoundEarthSoc13,23
309,genmon,1007
310,googlechrome,106
311,PastPostcard,16536
312,MindCharity,3621
313,CeliaWarin,211
314,theJSmith,438
315,MenToWomenRatio,191
316,kalilaholt,745
317,EdGambleComedy,1555
318,ybbaaabby,2515
319,pepperbox,431
320,julia_read,2867
321,Games4EU,85
322,OddishAsOddish,41
323,cwarzel,1920
324,isopresso,474
325,SarahMackAttack,3569
326,ButNoPotato,4
327,TwinPeaksArchve,98
328,FalseKnees,252
329,functionnormal,240
330,hamngr,1536
331,vijaya,1332
332,chrisbratt,767
333,chinesenintendo,95
334,joankahlodj,773
335,adeolaeribake,868
336,podsquad_,140
337,islingtonfeed,95
338,surminus,682
339,monzo,738
340,edmorrish,4938
341,DataBeastTV,1
342,bigpotatogames,1484
343,MakingMonzo,172
344,rorysteele,280
345,McSlaggles,158
346,fivepaninis,1327
347,unlevelednate,867
348,dianavtran,434
349,tomtabanao,116
350,usuallyawake,974
351,XploreCulture,257
352,DRI_HQ,131
353,simlsocial,139
354,alirayl,552
355,trendwatching,18831
356,oursuperpodcast,2
357,PizzaAtMcDs,98
358,dotdotdottweets,3
359,yorecomputer,1
360,simpsons_vids,7
361,dami_lee,585
362,McJesse,1251
363,ruleofthreepod,23
364,kezamacdonald,1166
365,8_Bit_Hobo,1568
366,griffinmcelroy,453
367,Breaker,13
368,JDParallelLines,117
369,pocketcasts,3114
370,shiftyjelly,340
371,DSAArchaeology,3316
372,wirecutter,852
373,soundarchive,1462
374,dril,324
375,heavyweight,92
376,J_Goldstein,223
377,SEGA_Europe,1104
378,katyalalyko,55
379,chrisfellingham,1783
380,OwletHelper,22
381,daily__hedgehog,3908
382,SaraAlfageeh,1986
383,oocfrasier,1
384,iotourist,17
385,rhysiedarby,1191
386,ProZD,688
387,Sorry2BotherYou,11
388,keanuthings,12
389,PaulMMCooper,1207
390,NickSazani,81
391,nestalgiacast,37
392,NintendoUKVS,8
393,verotruesocial,168
394,Dishoom,5690
395,swearclock,1
396,aliterative,987
397,decolonisefest,1045
398,BBCStudiosDgtl,344
399,SplatoonNews,23
400,reggiewatts,466
401,tara_ojo,918
402,anicrossing2,3
403,waneella_,990
404,Palle_Hoffstein,765
405,NintendoEurope,26
406,katienotopoulos,1456
407,WeirdLifeRules,1
408,rtmrushton,581
409,willaslettdraws,596
410,AbroadInJapan,148
411,qandamazon,169
412,eringriffith,1303
413,MurraySomerwolf,4319
414,dasharez0ne,8
415,wh_morris,672
416,RossWBaxter,966
417,everydaylouie,766
418,DannyDeVito,21
419,Mike_Eagle,3041
420,hypervisible,1422
421,BrutalHouse,1422
422,googlearts,1516
423,chalkandblade,2676
424,sandrooni,233
425,uespiiiiii,523
426,scarerkite,526
427,MegaphonePods,2624
428,BigotsAreMorons,1304
429,PlayLinesAR,305
430,swear_trek,532
431,lisabythebridge,1616
432,aanand,793
433,ConcernedApe,79
434,KrangTNelson,1983
435,cabel,518
436,WikiTribune,2313
437,MemoryAssistant,1037
438,patriotholedoug,2
439,mondomascots,4206
440,MooseAllain,2517
441,RomeshRanga,1972
442,emseeitch,520
443,Lizzlizz,955
444,JapanCentre,925
445,GreigARJohnson,3510
446,JettisonsCast,199
447,SonnyMalBotra,67
448,KeitaTakahash,97
449,ultrabrilliant,2713
450,submarinecoat,754
451,sammyborras,4437
452,nintendolife,2091
453,snopes,84
454,Classic_picx,202
455,jesslynnrose,2487
456,leighalexander,2725
457,Tuck_Shop,324
458,choppingwoodpod,1988
459,EmergencyQ,5
460,SplatNetStore,1
461,BelongLDN,141
462,GunFactStudios,346
463,AnnaCarlaKahn,324
464,brokeymcpoverty,833
465,eaterlondon,1
466,DianePodcast,1514
467,SHO_TwinPeaks,291
468,ClubSodaGuide,1092
469,joinclubsoda,3603
470,SuperFXMag,17
471,chapmangamo,974
472,helendmeyourear,323
473,PixelJunkNews,575
474,NuclearTakes,121
475,ProBirdRights,135
476,dylancuthbert,959
477,hamishsteele,1656
478,TwitterVideo,938
479,SuperMario_UK,1
480,darkstockphotos,29
481,NixandKix,1735
482,LaurenceGCook,1861
483,stephanieboland,4685
484,ChinatownLondon,887
485,ghumband,161
486,Foursquare,1492
487,PatriotHole,2
488,shugotokumaru_e,6
489,digg,296
490,greggturkington,999
491,SailToArchipel,95
492,pokeythepenguin,813
493,eMusic,6731
494,Ungapants,1144
495,rtYourLuigi,9
496,jsnhff,569
497,HKesvani,11457
498,400facts,1405
499,FatherGodPlay,285
500,neonwombat,583
501,bransonreese,1636
502,WholesomeMeme,190
503,charmainevee,521
504,HandGloveSocial,181
505,thequiffisdead,1511
506,anchor,5
507,neilslorance,1569
508,malpinder,160
509,touchmybobby,748
510,aparnapkin,3193
511,susanthesquark,574
512,BBC_Teach,5325
513,RogueNASA,541
514,jonnybaker,630
515,Sister_Polygon,206
516,HappyLemonUK,10895
517,nickw84,1896
518,daytimesnaps,1
519,PRIESTS_TWEET,11
520,kbaczynski,626
521,Marco_Tranchino,613
522,BarackObama,592204
523,DaveLeeFT,2993
524,ChatimeUK,2668
525,CrapLocalNews,4
