,id,name,followers_count,following_count,statuses_count,likes_count
0,50000,Shuhei Fuchigami,568,2177,1919,2782
1,60002,60002,58,74,1699,0
2,70002,70002,84,91,963,0
3,80003,Olga Berrios 🦆🚲🏳‍🌈,3660,1644,25321,20445
4,90008,90008,18,19,4944,0
5,100010,100010,5,20,1,0
6,110014,جنائن ورد,2,10,0,0
7,120018,!,24,326,79,1647
8,130019,طارق زياد,2,56,2,0
9,140021,박준희,17,78,0,0
10,150025,小野 薫,2,23,6,0
11,160030,未来,71,56,19,23
12,170034,MJ,1,11,0,0
13,180039,岡本 悠平,133,167,285,253
14,190039,وردة سوف,2,4,0,0
15,200049,monica,1,17,1,1
16,210050,Camille Campos,2,29,0,0
17,220054,jenny sue pearson,3,9,0,0
18,230057,あお,3,15,0,1
19,240061,たけうち,76,110,129,162
20,250061,周承和,0,18,1,1
21,260061,mery,0,17,0,0
22,270075,Daniel Condron,1,26,0,0
23,280085,aboood-S,10,78,22,0
24,290088,fahad alsaedan,0,15,2,0
25,300089,juan (pocoyito),1,14,0,0
26,310093,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ☤とっきーََ❂ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤポケカ女子🐱,2744,50,81003,1814
27,320093,ikumi✰,18,29,233,16
28,330093,whurley,17524,978,968,2070
29,340101,わかすぎ しょうぞう,45,89,230,2
30,350104,Andrés,8,28,104,7
31,360112,Marcos,1,12,33,0
32,370115,白井成人,1,26,0,0
33,380117,ケンシロウ,10,11,170,7
34,390117,YAMADA　KAZUO,1,4,206,0
35,400123,luque nicolas,0,23,2,0
36,410123,madison graves,7,28,9,0
37,420128,Maho,588,510,3664,3246
38,430167,sedad,1,16,0,0
39,440168,سليمان العبادلة,3,5,0,1
40,450178,carla rafaiele,8,59,65,3
41,460179,agung H.S.S,8,62,5,0
42,470179,堕天。,0,4,11,4
43,480208,栗山　茂,2,6,0,0
44,490208,جوجو,21,110,0,2
45,500208,ゆーたそ,1,17,32,106
46,510212,KOUTA,739,1053,4275,2269
47,520212,さとちゃん,1,16,14,0
48,530216,(530) 216-3361,2,4,0,0
49,540219,使ってないです。,211,366,4921,471
50,550220,+966 55 401 0220,0,10,0,0
51,560221,Jamesknight,0,4,1,1
52,570221,+221 70 570 85 09,1,81,1,17
53,580230,MARI DONIHOO,0,46,2,1
54,590251,Тихон Беляков,1,264,44,0
55,600255,fuwari,0,21,2,96
56,610257,봄처녀,0,5,0,0
57,620259,lorranny ,0,14,10,18
58,630263,Mike McClenaghan,333,318,5335,56
59,640275,estvan,0,15,0,0
60,650293,Nicola MdS,146,121,574,116
61,660299,La Guille Cola,9,25,5,1
62,670310,zelda,4,17,2,0
63,680315,Luis Vilchez Vilchez,8,4,0,0
64,690320,大空,2,5,1,0
65,700322,Анташкевич Арина,1,15,1,0
66,710327,Ann Caso,44,278,136,1952
67,720335,lauro luevanos,0,6,0,0
68,730336,Roberto Barrios,2,27,0,0
69,740336,katherine,2,4,0,0
70,750343,Kerryn,147,181,3282,1175
71,760345,Jennifer George,112,12,1500,119
72,770348,LindaElePi,0,5,1,0
73,780362,Chris Nicolson 🇪🇺,245,120,6386,136
74,790368,Corprew Reed,723,1521,6734,29789
75,800368,吴石林,1,14,5,0
76,810374,Dave Pitta,834,892,515,22
77,820378,Fred Delventhal,3740,3363,26638,889
78,830381,dalys sasso,99,122,2827,11528
79,840384,ミハシヤスオ,0,39,11,1
80,850386,ÖZLEM GÜNEŞ OSMA,2,43,2,0
81,860400,vimlesh,0,19,0,0
82,870407,alexandre valerio,1,9,0,0
83,880408,ㅇㅇㅇ,27,28,71,1
84,890413,kimberly,5,21,24,0
85,900414,ACCOUNT HACKED,22,71,102,0
86,910414,たくみっちゃん！,286,322,12902,1382
87,920417,유동현,1,7,2,0
88,930426,andreiita,9,11,3,0
89,940441,TJ Pitre,892,776,8976,2411
90,950449,950449,0,4,0,0
91,960461,楊文欽,1,8,0,0
92,970461,Adam Valentine,1240,3860,93560,187651
93,980461,Sean Clauson,1063,112,144,566
94,990469,あきら,1,7,0,0
95,1000469,Luis Diaz,0,5,0,2
96,1010471,Paul C,458,636,7719,3231
97,1020471,施靜雯,0,10,0,0
98,1030506,まいやん⊿,45,49,243,13
99,1040527,c,30,29,8235,2325
