,id,name,followers_count,friends_count,statuses_count,likes_count
0,9305342,放蕩投機家,144,405,5356,6399
1,9315348,금수문화예술마을,3556,3916,74,0
2,9325402,Melisondre,53,520,103,50
3,9335522,Virginia Wallace,93,608,790,26598
4,9345532,K.,153,175,37134,2024
5,9355562,Truemors,1808,2315,8470,0
6,9365562,Charles Dixon,14,167,9,6
7,9375572,Marcel Savelkoul,86,133,577,31
8,9385652,razvangry,38,102,23,1
9,9395732,juzcho,54,158,1612,22
10,9405782,Colin Mercer,1017,1276,13177,6
11,9415782,Drew Bernard,1020,1286,1930,88
12,9425872,pd,493,1030,5699,817
13,9435892,sharlene,394,319,8093,756
14,9445952,Bev Mitelman,79,106,63,27
15,9455962,LiosK,410,656,3713,19
16,9465992,Betweenthekeys,156,877,2290,1813
17,9476032,Lisa Johnson,308,908,6322,2569
18,9486042,Jodines Junior,66,692,2027,21329
19,9496082,にしぞの,444,357,389930,15733
20,9506202,Raymond G,120,265,262,141
21,9516202,Rafik,5240,2417,60406,4349
22,9526252,Axel Irias,38,141,202,42
23,9536262,𝚃𝚎𝚗𝚞𝚖𝚊 𝙺𝚊𝚛𝚊𝚋𝚞𝚖,328,454,4696,230
24,9546282,Anne-Fred Gallet,792,827,4292,2162
25,9556322,Tully,78,2269,30,63
26,9566372,Luke Baumgarten,1630,1384,5394,8818
27,9576432,Ryan Wu,247,411,457,684
28,9586432,Prachi Singh,214,182,407,45
29,9596452,Juan Quevedo,116,135,1598,4
30,9606452,shannon,484,717,874,69
31,9616476,sunil gautam,27,338,159,1784
32,9626487,ابو سعود ,20,111,8,6
33,9636532,Joe Godsil,82,255,281,6525
34,9646542,vamos,206,156,414,10864
35,9656623,R.alshehri♪♡,989,1063,4735,1314
36,9666742,pyrois,42,175,3,36
37,9676777,نايف,28,131,7,4
38,9686782,Kenny D,60,187,6271,5
39,9696792,Scott,563,1584,56536,13617
40,9706812,PaePae,732,604,3194,208
41,9716812,Shemi,337,223,20996,5433
42,9726816,Rajan Aghara,17,136,13,13
43,9736842,th2tara,132,709,81,602
44,9746842,denisboucher,151,224,579,321
45,9756862,Nicholas Rodriguez,7,114,106,412
46,9766862,"""Interview with the Vaccination"" (1994)",1327,1678,19298,36208
47,9776872,Jodiestaphorst,520,608,2932,824
48,9786882,Nick 🤌✨,164,365,1788,674
49,9796892,Mike Zarro,459,573,3130,31
