,id,friends_count
0,68548879,1049
1,915591714982707200,37
2,194487817,11
3,23843220,183
4,112193348,196
5,14306062,251
6,1279457844,18
7,1192324056890036225,4
8,4777408670,6540
9,216573824,1443
10,9449612,70
11,4619707213,39122
12,146844485,8045
13,307902310,30
14,9842152,36
15,117135672,6202
16,747658402566967300,2
17,53006383,17000
18,2952662411,901
19,1209670800816492544,214
20,43715519,724
21,2793976860,96
22,129805279,595
23,821102114,100
24,975706741638881280,9
25,142600102,521
26,515315620,35
27,2149061,795
28,75786783,682
29,90349766,576
30,216726876,281
31,136977527,260
32,5596942,1491
33,526068812,4
34,128825887,787
35,4530451,11202
36,2574400422,141
37,279308573,340
38,2476301552,440
39,356043343,4
40,204245399,19
41,3108006368,1017
42,59365878,3035
43,3603892634,5
44,928707978932482048,44
45,1099817276939821059,334
46,634398882,68
47,88887758,1194
48,2999047657,166
49,2888091584,482
50,896347594233790464,1102
51,10860,3667
52,112141690,1445
53,957644853533229056,2
54,108775083,5145
55,787497856592519169,161
56,94341892,763
57,591106726,803
58,222364037,11
59,590845887,325
60,77131315,622
61,140431075,4
62,27201512,21608
63,894816050205794304,644
64,87668989,677
65,1417490442,205
66,2386789068,2
67,58660324,1465
68,150951263,329
69,152972014,177
70,741278018,1763
71,415342234,405
72,114437179,171
73,259194126,19
74,208404547,2
75,2154814506,376
76,1171755060,52
77,851976439,2793
78,956919996,513
79,87370376,4
80,4839387392,70
81,6195172,2688
82,105466408,357
83,65279622,111
84,151705106,790
85,341374118,5
86,308796953,290
87,89151531,556
88,44918609,23
89,180463340,37853
90,46824720,1769
91,3812415620,105
92,287683,828
93,331464702,96
94,1615404560,2
95,79149864,18
96,52637524,554
97,14852713,2463
98,2563575690,99
99,112924424,627
100,93311525,115
101,274326448,106
102,1401587503,96
103,51310893,469
104,74318989,666
105,229826452,468
106,157370300,1069
107,29979014,60
108,471753120,19
109,147046496,1802
110,145403560,4
111,393130763,10
112,122976691,87
113,6536792,246
114,99701185,4629
115,5439092,751
116,16736966,511
117,87355488,847
118,214568855,115
119,228911252,180
120,109453886,94
121,108899802,722
122,114069081,283
123,63112379,3093
124,88468813,156
125,187410310,59
126,69334120,129
127,143651795,33
128,129393261,24
129,2632291,7
130,110660104,680
131,114446939,276
132,68734470,653
133,114167695,79
134,10516232,1045
135,75476186,95
136,108249667,111
137,69455494,162
138,75995343,304
139,83086661,887
140,65410352,817
141,13043852,75
142,6522902,170
