,screen_name,friends_count
0,xRoskilde,243
1,flufing,256
2,jesper_fries,451
3,MusicLoL_,260
4,PabloMnM14,500
5,RedLoLCoach,459
6,MersaLoL,268
7,hannivai,443
8,sidnik_XPEH,213
9,Sharptho,393
10,Repprint,593
11,LSXYZ9,455
12,The_EUniverse,51
13,CoachLeeJooHo,391
14,NVD_TomKick,135
15,Zvenelol,501
16,zonic,581
17,CAPS_dad,140
18,BernbomDK,98
19,NansenMads,76
20,itscoldbolt,727
21,SenorDoggo,117
22,Munckizz,256
23,FostyLoL,1220
24,Serenity7477,1147
25,jijiyenlul,595
26,SezzeRLoL,302
27,gla1ve_csgo,434
28,SkudeLoL,393
29,BartholdyLoL,297
30,TESTalkOfficial,368
31,happykjems,843
32,JannikKubel,218
33,techadvokaten,219
34,MathiasWadt,136
35,Leagues_GG,609
36,uldallriks,684
37,chrisrsword,539
38,CoachRavenlol,297
39,Sebal1p,290
40,boraghi,922
41,unexlol,135
42,spdrxd,129
43,steen,1079
44,rulfchen,491
45,VNGCSGO,253
46,Iamblackgstar,1208
47,Bjornen_Baloo,339
48,inteck_1,186
49,Stiande,120
50,CraneLoL,585
51,MatthewJWatson,1147
52,Moerianne,243
53,JacobRhus,13
54,CoachMarin1,738
55,Jackspektra,288
56,Quixeth,240
57,HawHawNeverLuck,557
58,KadaverLol,322
59,Deidara_LoL,269
60,NL_Rey,908
61,Click4x,526
62,froomielol,834
63,Hellekla,544
64,Lud_0,473
65,dehpz,562
66,Veigar_v2,520
67,TaxerLoL,312
68,IceBreakerATH,346
69,10Aschente,1039
70,Johnsenzx,207
71,Maxilol_,368
72,ICMStellar_Josh,1727
73,Lindberzerk,407
74,AstralisLoL,97
75,AstralisCS,95
76,Bubzkji,341
77,lol_arailla,613
78,Demblul,424
79,AdilZaman404,346
80,astralisgroup,30
81,nikolaj,1162
82,Astralisgg,84
83,LoLBent246,887
84,RgeFoxy1,3971
85,DarthRaverino,672
86,Lindgardelol,205
87,BliZarD_EU,390
88,LoLCarlsen,256
89,Diamantis_ilias,473
90,Esports_Kai,378
91,Prosfair,267
92,QuinncidenceLoL,363
93,Irrelevanttop,244
94,januslol,397
95,Conse_lol,429
96,mistyy_lol,1285
97,Coach_B00,517
98,Kronoslol1,544
99,coinglol,298
100,Lokkeduen,159
101,scuffedlss,354
102,biimsaa,135
103,Vizzpers,315
104,Nordsen_LOL,272
105,Kris_7Q,411
106,Elisaisabellbay,150
107,Jiglylol,157
108,Arkhelol,467
109,JeppeHou,94
110,ReineEUW,180
111,BaybrorLOL,553
112,PederseNNLoL,174
113,EliWoodlol,335
114,Kaymin_lol,298
115,Jadran_LoL,571
116,Flipper_lol1,129
117,aodzillaa,494
118,Hunttlol,144
119,Er0lle,272
120,OwN3RLoL,358
121,IoI_Warrior,47
122,Alexx__lol,113
123,CoachFireVortex,909
124,Radiant_NoVaa,2030
125,RSVRai,587
126,pjush,303
127,Ponty94,320
128,JungleLotus,238
129,Twiiztlol,295
130,Nissalol,436
131,KiaoEU,401
132,Tatuylol,163
133,The_heathenLOL,537
134,ChemeraLol,529
135,euna_lol,243
136,EragonUK,325
137,RaqoEU,505
138,Banderas7509,607
139,NVD_Flufo,44
140,PehrsonLoL,578
141,JustShurpa,808
142,Sleepy_eu,616
143,CoachLevi7,881
144,Sangopan1,516
145,SmeagolLoL,762
146,kalnienk,758
147,DeBoundLee,415
148,SidonLol,134
149,espen5b,478
150,Enixxx_,596
151,DocQuickLoL,641
152,zombiekungen,116
153,EmtestLoL,711
154,slemplol,72
155,NijhuisLoL,137
156,Sanchovies,532
157,Cboilol,257
158,Carzzylol,522
159,FraserEsports,3646
160,rush9k,581
161,Dom_Sacco,4507
162,Esports_News_UK,3001
163,Megalodontus,660
164,Praevius_,411
165,MacCLol,378
166,MulgrewJosh,921
167,Arentzlol,161
168,LL_Trigger,4970
169,mashxpotatos,457
170,morguezno,1889
171,ABSOLVEDGG,154
172,mumus100,579
173,Nolteylol,187
174,TES_Nordic,69
175,InvulEsports,848
176,TengsEsport,220
177,OW_Mercy_Only,10016
178,tacocatlol,235
179,Vethorm1,344
180,HansenLoL,336
181,Havocesport,63
182,klainlol,305
183,PabloAseL,1263
184,APatkica,418
185,Sky_LoL_At,1906
186,jimsnop,198
187,Ploxy_lol,301
188,OP_CLOL_FAN,2522
189,Emperor_lol1,433
190,Jae1x,356
191,wickedradlol,328
192,Babeeplol,308
193,Divaaalol,271
194,SWAG_Hatred,331
195,HimmelreiterSky,551
196,OleAndreasUTD,203
197,Wylenz_lol,494
198,Wazz_1,188
199,squalito_lol,2601
200,Just__Slip,696
201,HadesADC,401
202,ReclamationEU,281
203,Coach_ATL,377
204,LeagueMyst1c,332
205,Applesmid,630
206,merpilian,614
207,SimpliLoL,283
208,Shafty_lol,996
209,NomiLoL_,255
210,rikuadc,268
211,1Toplane,51
212,JulbuLoL,497
213,coachjake8,303
214,EloMomSand,314
215,Snilltvedt,402
216,Anitius1,519
217,Hoiz_lol,176
218,ChaosDADLoL,682
219,thom550f,195
220,RoarAbuse,661
221,XDEmillol,342
222,MyKey_lol,414
223,Luriddlol,164
224,Cristoishere,743
225,Nathou_NP,412
226,Tythonlol,110
227,AnOnPsyCkOlol,283
228,JakeyL0L,794
229,SleepWeOfficial,439
230,OPDarkberny,1889
231,L2Control,965
232,NVD_Touch,562
233,Phantomles_XD,403
234,Ashyva_LoL,986
235,imCoachAce,407
236,xTheBlackRussia,2345
237,HAHAXDeuw,362
238,CoachDamles,262
239,Malau_lol,1778
240,Nuclear_int,841
241,NordavindNO,101
242,CoachPlaty,845
243,akabanelol,573
244,DenVoksneLoL,435
245,Selfwaylol,270
246,Tide_lol,367
247,lolaqsept,774
248,EUMasters,117
249,Advienne1,400
250,LolMixsi,196
251,Dacreqlol,560
252,MarkYetter,172
253,ZvirLoL,529
254,ndurancegaming,276
255,CoachFykling,426
256,Vandett0,755
257,mYiSilverborn,369
258,JenxasLoL,210
259,Puppe_lol,800
260,Floengesports,141
261,smwilmann,352
262,Fitidreng1,392
263,WiseTravellerUK,479
264,LoLCoeus,70
265,knighterlol,281
266,TorokLOL,738
267,Koolberg_,423
268,Dusty_Bonni,512
269,WeiZoRx,265
270,maurogarih,986
271,YikeLoL,270
272,Valentine__LoL,294
273,OlympiskGG,835
274,HankatLoL,214
275,Rnglol_,239
276,erixen_LoL,239
277,Hylanderlol,388
278,Chrisberglol,512
279,AestheticSWE,347
280,NLClol,112
281,Hidonlol,211
282,BeBopBulli,357
283,MadLadPad,516
284,Alban_LoL,263
285,CmodeMrVsOp,1022
286,Bratenlol,410
287,LegionsLoL,352
288,404Air_,371
289,PoulsenMid,363
290,NVD_ShadowPoro,487
291,CeejayShaw,1645
292,Casper_Lynge,602
293,FlayStationLoL,307
294,Nordavindgg,93
295,sandrajytte,29
296,GuldborgReal,579
297,RotteBengi,127
298,DucklingCasts,942
299,FaydasLoL,721
300,NicoThePico,2239
301,LoLEsportsStats,4
302,Kragii1,411
303,Frezz_reaper,84
304,riotgames,261
305,Atlustv,546
306,DanucoLOL,563
307,NordicLeague,687
308,TheMattlol,140
309,Theismol,51
310,RylleLoL,186
311,FedeVom,129
312,Eggidius_LoL,97
313,2riuslol,314
314,Vildgaard1,260
315,LunddorfLOL,186
316,FredSpaghet,289
317,MalteKrog,266
318,H3kalol,386
319,Champenlol,349
320,CaptainSexylol,706
321,HarryDrengen,45
322,RevoEUW,199
323,MikmerLoL,628
324,Kalhira_lol,377
325,Oqi_LoL,523
326,EXCEL,305
327,sjokz,1417
328,lolesports,489
329,YamatoMebdi,409
330,LEC,207
331,PapaSmithy,182
332,MedicCasts,659
333,Vedius,454
334,DanielDrakos,489
335,Ole4ndreas,2190
