,created_at,tweet_text
0,2021-05-19 16:02:01,"['technic', 'viewpoint', 'the', 'insid', 'threat', 'understand', 'the', 'human', 'behaviour', 'that', 'impact', 'cyber', 'resili', 'global', 'cto', 'olli', 'whitehous', 'offer', 'thought', 'on', 'what', 'organis', 'need', 'to', 'consid', 'httpstcow3ntqlml5l', 'httpstcomfgjwrpxl']"
1,2021-05-06 16:01:11,"['thi', 'is', 'go', 'to', 'be', 'a', 'great', 'cinema', 'movi', 'dont', 'watch', 'thi', 'at', 'home', 'httpstcos9dj1aylkq']"
2,2021-04-30 11:46:04,"['amaz', 'support', 'from', 'monzo', 'thi', 'morn', 'their', 'develop', 'fix', 'a', 'problem', 'id', 'report', 'how', 'mani', 'bank', 'can', 'do', 'that']"
3,2021-03-20 19:47:47,"['transactionp', 'you', 'onli', 'get', 'a', 'sticker', 'if', 'your', 'a', 'good', 'boy', 'or', 'girl']"
4,2021-03-20 08:54:24,"['first', 'class', 'experi', 'with', 'the', 'nhshero', 'thi', 'morn', 'getvaccin', 'httpstcomcdtukoyex']"
5,2021-01-21 18:42:51,"['andyhob', 'no', 'your', 'right', 'httpstcovab6i9i2fb']"
6,2021-01-21 18:39:54,"['andyhob', 'is', 'it', 'the', '21st', 'year', 'i', 'think', 'it', 'might', 'be', 'the', '22nd']"
7,2021-01-17 12:09:51,"['httpstcorl10avxst', 'it', 'time', 'to', 'sign', 'up', 'for', 'a', 'postal', 'vote', 'london', 'mayor', 'elect', 'are', 'in', 'may']"
8,2021-01-11 17:17:34,"['drrosena', '✋']"
9,2020-11-18 12:25:42,"['uk', 'nest', 'thermostat', 'e', 'thank', 'httpstcolcrqrsbbr']"
10,2020-11-18 11:52:50,"['googlenesthelp', 'my', 'nest', 'thermostat', 'e', 'cant', 'find', 'my', 'wifi', 'sinc', 'yesterday', 'outag', 'ive', 'factori', 'reset', 'and', 'i', 'am', 'get', 'a', 'td004', 'error', 'when', 'i', 'tri', 'to', 'reinstal', 'the', 'devic', 'wifi', 'is', 'all', 'fine', 'my', 'nest', 'protect', 'and', 'nest', 'camera', 'are', 'all', 'ok', 'just', 'the', 'thermostat']"
11,2020-10-19 15:40:52,"['so', 'proud', 'of', 'the', 'whole', 'team', 'that', 'ha', 'work', 'on', 'thi', 'a', 'complet', 'crossfunct', 'and', 'multipartn', 'collabor', 'we', 'are', 'veri', 'excit', 'to', 'share', 'thi', 'video', 'showcas', 'our', 'new', 'touchscreen', 'httpstcowqkyy8q0gp']"
12,2020-10-07 14:03:21,"['gopro', 'goprouk', 'is', 'anyon', 'work', 'on', 'support', 'ticket', 'right', 'now', 'httpstcoyejoatrnkd']"
13,2020-09-27 12:46:51,"['httpstcozaxwttfosx', 'is', 'veri', 'clever', 'read', 'articl', 'in', 'chrome', 'and', 'turn', 'them', 'into', 'audio', 'that', 'is', 'read', 'to', 'you', 'at', 'your', 'leisur']"
