,screen_name,followers_count
0,NINI09965255,52
1,Amelia59839,1
2,waka_34,593
3,dateataoyama,410
4,bokenbooks,489
5,UsigAfILTDEod67,40
6,sone_oak,3363
7,a_hasimoto,847
8,zXDFHjCSwID4aUx,59
9,koderanniiiii,290
10,Tyn_Owner,976
11,mohanbirsingh5,9
12,sk_rahebar,1
13,popoiransu,833
14,yavuzslmcnr,1
15,soar_world,22340
16,Teru_Kurihara,1136
17,tsubasa303,1211
18,down_syndrome_x,1238
19,nzknws1n88,107
20,Kaan29470251,14
21,jack1972frost,1471
22,cellularkraken,979
23,LiFi_LightData,1125
24,yuamee_com,1301
25,yasakarenjiro,342
26,chizutodesign,28982
27,TnpoTnpo,85
28,fuyuben,27826
29,mayuboun,570
30,muzibuer88,6
31,danserfrance,2089
32,eeemeee,91
33,puripuri_ken,1516
34,B_Pascal_jp,11165
35,ohkitashigeto,6073
36,wakashuken_,510
37,kazueoodaira,2004
38,BOKONON_bot,561
39,VirtualSoil,4413
40,yaseiOfficial,301
41,ryuiki_kankaku,676
42,PurryCurryTOKYO,206
43,GAPUX,1474
44,thinktanklover,55
45,CP_Ship_bot,514
46,SYSTEMAbot,4439
47,ipsjone,862
48,kumeayumu1,1227
49,hindimyths,2209
50,hebo_35308011,102
51,AAANissy3023,407
52,MgPrgduEWLqkWgC,1
53,seisouin_kage,27
54,AbilityMony,84
55,Ageha_1o9,114
56,ananbnbncncn,16
57,81_Taki,60
58,waniwaniwani823,83
59,cesmgaortqbm,148
60,roseknight0204,569
61,shopreconquista,4019
62,Prazdnikjp,1959
63,ecoica,41
64,sanadalicolita,1642
65,FORESTLIMIT,5678
66,Yutakom,1424
67,takanorim_,453
68,office_Andante,1499
69,glory_of_church,3246
70,snoronoro,999
71,6jigen,85562
72,kuroshiro_tour,510
73,B65Le,4
74,machinelearnflx,99119
75,lilmag_,2684
76,ethica_bot,6792
77,tron_luv,1643
78,norigoetakako,78
79,link____1224,261
80,rome2n2n,583
81,naokogata,435
82,NuoNetwork_JP,128
83,minyo_yutachita,564
84,berayung,4161
85,jV6aLD3NtbGl5gF,314
86,Karatbars88,25
87,Wealthy_jp,678
88,Chip_Community,48888
89,makikosquash,472
90,PacificTeck,120
91,Naovalis,6930
92,eren_niazi,15598
93,songline_,87
94,yksh177,410
95,roumanha_4,873
96,caorina,1580
97,RSIC20,462
98,mahomahowar,31578
99,mori_job,1339
100,hallyvorc,6232
101,ryo0y,3048
102,juniorsoccer8,412
103,proustmemobot,2075
104,michico115,501
105,eedu_jp,4150
106,tw020_kol,1528
107,bassemknpc,324
108,shimastyle,2205
109,NewsAIHQ,326
110,JAPAN_manga_bot,15901
111,basho_bt,2541
112,DPBOOKCENTER,186
113,DewiPurwa001,281
114,Nowherepapafgg,23
115,aniotahosyu,53011
116,BCCKS,2709
117,info_cocoroom,3069
118,mashiko_support,313
119,suikyuhuryou,400
120,su_zansontagu,197
121,UTNP,12357
122,sakuma012,5173
123,odoroki_zatsu,621
